% Model,Untitled_plug_l_0.09_cap_l_0.9_u_a_5e-9_run_t_5880.mph
% Version,COMSOL 4.4.0.248
% Date,"Mar 10 2015, 11:21"
% Dimension,1
% Nodes,23521
% Expressions,1
% Description,Table graph
% ,
0,1.0368618411197643
0.25,2.2164469505798676
0.5,0.6058248132264051
0.75,0.1274208009194642
1,-3.7706241517260635
1.25,-0.3223837876866369
1.5,-0.5259692549777124
1.75,3.691249696466764
2,0.1315763764717184
2.25,-1.108062044370239
2.5,1.4756793802081671
2.75,-0.8319925532683072
3,-0.0973079058063998
3.25,-2.2575226978351455
3.5,-0.18956969849948033
3.75,0.2997150999544125
4,-2.934282332181458
4.25,1.7217461815031563
4.5,-1.4594552578246351
4.75,-0.9464370242908349
5,4.6320866933530835
5.25,-0.8708482411070982
5.5,1.151112127020343
5.75,-2.215468557105529
6,-1.186451025508285
6.25,-2.5546584978706752
6.5,2.022780432426609
6.75,-1.861414175023383
7,-0.07286051216755286
7.25,-1.4091959368532458
7.5,-2.5109205682314126
7.75,-0.6388063104274966
8,3.632985373420641
8.25,2.4291434544330723
8.5,0.9733008168263446
8.75,-3.1532182443688215
9,-2.2339854535537937
9.25,-0.25241156747623383
9.5,1.3038407469771924
9.75,0.8931363110373571
10,-0.5781818530409464
10.25,4.356381708673666
10.5,1.6690210236111997
10.75,0.05083138586883971
11,-0.7633017210777548
11.25,2.914829475194974
11.5,-2.107005267970566
11.75,-0.6379008323746577
12,2.509491339142714
12.25,1.9193443975714244
12.5,-2.057237877326499
12.75,-0.8063429437841367
13,0.5987283926632889
13.25,-2.251445986854125
13.5,-1.0980830986121164
13.75,1.5729983259044553
14,0.3645887857321239
14.25,1.4789711080788581
14.5,-0.6153161260606195
14.75,2.0544809740643686
15,2.4099784766232424
15.25,3.3006824813302464
15.5,-3.131993508944912
15.75,-2.094230055857359
16,1.6867620013238875
16.25,1.2952670593314413
16.5,1.0937578895145632
16.75,1.5700071544873497
17,0.7482667522746762
17.25,0.11029475025691542
17.5,0.40710640401493653
17.75,-1.100614201647978
18,0.9468172247175866
18.25,0.8607215129535497
18.5,2.520815593225539
18.75,1.3681416278061387
19,1.0044126938529279
19.25,1.3340049309565003
19.5,-1.5341170486254958
19.75,-3.3569460474409385
20,-3.06513048356659
20.25,-2.669610849008631
20.5,0.31106707416838864
20.75,0.334112524908999
21,-4.546372596389829
21.25,-2.1371311509910385
21.5,1.7739709445552923
21.75,1.7043302728115728
22,2.1648812645066418
22.25,0.41181560190614497
22.5,3.253118537489236
22.75,-0.20472311095070844
23,-1.1552062160031666
23.25,-4.99150959670763
23.5,1.5084806278268268
23.75,1.7101825170270049
24,-0.2649282682472811
24.25,-1.8067041525710912
24.5,-3.1234229923002594
24.75,-0.07146166905473625
25,0.07785756128902181
25.25,1.4891397136633422
25.5,-2.7069474111899647
25.75,0.9991192848692748
26,0.8345916199554879
26.25,-2.8809734452864943
26.5,-1.0340956586183514
26.75,0.11730335504741836
27,-4.885735473949451
27.25,-3.739092275245017
27.5,0.9989540568029843
27.75,2.0337800650759785
28,-0.4376085844832326
28.25,-0.016436713809464643
28.5,0.05591623406052688
28.75,0.2792887614088503
29,-4.742032976000179
29.25,2.658492847302161
29.5,2.7779906179818106
29.75,2.7905014297820183
30,0.07565728067644946
30.25,0.8072631366341344
30.5,-2.304652215394236
30.75,0.3502892854555883
31,3.4309405729528444
31.25,-2.2718492682948916
31.5,1.1992661189500524
31.75,0.4808983777267099
32,0.7185556376211065
32.25,-0.04941487116377542
32.5,0.3620447649676715
32.75,1.7872185331217223
33,-1.1506719476151275
33.25,-1.9983032519980795
33.5,3.008464410846808
33.75,0.7634574556293522
34,-1.042737956172933
34.25,0.6409896478985035
34.5,-0.6640910481001973
34.75,-1.2712950205191613
35,-3.0029651754293454
35.25,0.6078655097404849
35.5,3.0807694893539237
35.75,-1.3374457068223176
36,1.3369960474014388
36.25,-1.9948594365131656
36.5,0.40403971164061653
36.75,1.4206993734682427
37,1.9403317903635269
37.25,0.4500309510582515
37.5,-4.199794427086069
37.75,2.912183875687959
38,0.8355936569499703
38.25,2.1216275583267357
38.5,-0.5984974186761154
38.75,-2.787800008744196
39,3.6186800777077424
39.25,-3.9417911426122094
39.5,0.4431573990755398
39.75,0.6799066138619465
40,-0.42765756016021933
40.25,0.9395918536618231
40.5,-2.035891730158581
40.75,-4.4047432503741835
41,1.436409514862799
41.25,-3.1065679276364433
41.5,-2.533941433730402
41.75,0.04772652034781911
42,1.672230616361953
42.25,2.9977983488725575
42.5,-2.1380003868968407
42.75,-3.2669553313976474
43,0.7503197633086174
43.25,-0.4610183318887634
43.5,-1.4445721852716735
43.75,0.9243891397680615
44,-1.09451537518218
44.25,0.0590990858675097
44.5,-0.25606156589972434
44.75,1.1881761609972807
45,3.242836755509516
45.25,4.0500413441661465
45.5,-3.0336982730235564
45.75,-2.896736182640312
46,-1.3125749747166162
46.25,0.1859312552863495
46.5,2.997972983547525
46.75,-1.0589288935681482
47,0.6860671592633073
47.25,-1.1167107132624154
47.5,2.831253909807749
47.75,-0.7332017850079051
48,2.2832407074654615
48.25,-0.3023979426739165
48.5,4.3563161016998375
48.75,-4.46383106961022
49,-0.888480702551156
49.25,-5.441046158176561
49.5,-3.0407917140340164
49.75,0.05956635494170952
50,-0.5974515462078416
50.25,0.21229802017699215
50.5,1.3374875059485771
50.75,3.402635426839916
51,-2.0035740929717076
51.25,2.1018361787397954
51.5,-2.0204640653328783
51.75,3.640256766033916
52,2.0759562023013376
52.25,-0.2912704998502829
52.5,3.068722030762779
52.75,0.6013627884811549
53,-2.830797275684746
53.25,-6.0516302557717E-4
53.5,-1.7960803028408003
53.75,0.08092302906936132
54,-2.7041239184883596
54.25,-2.9657013558699035
54.5,-2.663344783725412
54.75,1.1510765310979314
55,-1.4462805559020302
55.25,-0.6804692588928608
55.5,0.23151761182112643
55.75,1.4515442391448425
56,1.0634516127222264
56.25,2.4056577220608006
56.5,-0.5422113886246317
56.75,-1.6765890504392489
57,2.2379364935983532
57.25,-0.7279276656226953
57.5,0.3783131547493038
57.75,-0.26960373392093984
58,1.022663042795334
58.25,-1.7393379205014603
58.5,-0.10248240686137745
58.75,1.9886039169797165
59,-0.336553093344822
59.25,2.227468782305545
59.5,0.5178228409250354
59.75,0.594648175391615
59.99999999999955,-2.8014104163779696
60.25,1.2864227367134502
60.5,0.3151160984447326
60.75,-0.7946652958932569
61,1.2887784519930319
61.25,0.7054176459473336
61.5,-1.3522198047458711
61.75,-1.4777899010327438
62,0.8390631828744425
62.25,-1.6681888730860985
62.5,-0.3027416374855361
62.75,-0.8369715533894159
63,0.9953080927898711
63.25,1.8021915599701193
63.5,-2.04363046461622
63.75,-1.299616163898033
64,-0.24456835442891398
64.25,1.2879658389210815
64.5,0.7298574406940657
64.75,0.7255277894184601
65,-0.21930062047639665
65.25,1.0997954567025374
65.5,0.9961239937797162
65.75,0.3914443948320589
66,0.07612600197778438
66.25,-0.935544169091529
66.5,-1.1675696922977834
66.75,2.677480200533575
67,0.8120047328755406
67.25,3.147102539664919
67.5,-1.0415369595493142
67.75,-0.13667712543810723
68,-0.2152838410753078
68.25,0.5954584441190424
68.5,0.931173216077761
68.75,-0.7171075779728718
69,1.3240909779949555
69.25,-1.283674494246524
69.5,1.5015583716238436
69.75,-3.686641899984545
70,2.679567337374856
70.25,0.23867855116997871
70.5,1.5323888698662327
70.75,-0.5314836159562009
71,-0.35142641282889986
71.25,0.6625632215305894
71.5,2.80244815609942
71.75,1.8545163606968205
72,1.8688322328476608
72.25,-0.32066641020690134
72.5,3.3119922742832557
72.75,-1.4762788629890615
73,0.9802557602334657
73.25,-1.4209468714824893
